image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_2,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_3,Image_List_4,Image_List_5
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_ahead_box"",""trial_slight_left_box""]",,,,,,,,,,,,playroom6.jpg,space,5.06741,"[-0.00036192092651757187,0.004838092385516507,-0.21761015708200213,-0.2067691693290735]","[-0.3272888378594249,-0.30619342385516507,-0.3250757121938232,-0.3030484558040469]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.9131100000012111,2.879500000002622,3.6466250000011087,4.5975150000012945]","[""trial_ahead_box"",""trial_slight_left_box""]",0,12,12,77,1,parkinggarage2.jpg,pasture9.jpg,park8.jpg,mallindoor6.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_right_box"",""trial_sharp_right_box""]",,,,,,,,,,,,waitingroom3.jpg,space,14.866955,"[0.41323049787007454,0.5763569954739084]","[-0.2944954739084132,-0.31326544195953143]","[1,1]","[0,0]","[0,0]","[13.079480000000103,14.53018999999756]","[""trial_right_box"",""trial_sharp_right_box""]",0,13,13,94,1,treehouse.jpg,staircase6.jpg,weightroom.jpg,trainStation3.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_ahead_box""]",,,,,,,,,,,,trainStation1.jpg,space,2.1335,[0.0016016041001064962],[-0.294586994142705],[1],[0],[0],[1.8316049999993993],"[""trial_ahead_box""]",0,14,14,90,1,savanna5.jpg,sidewalk1.jpg,stripmall3.jpg,shoestore4.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_ahead_box"",""trial_slight_left_box""]",,,,,,,,,,,,library_aisle8.jpg,space,4.89884,"[0.013187233759318424,-0.21746039669861555]","[-0.30291117545260915,-0.3070046259318424]","[1,1]","[0,0]","[0,0]","[4.095350000003236,4.713040000002366]","[""trial_ahead_box"",""trial_slight_left_box""]",0,15,15,59,1,homegarden7.jpg,highway4.jpg,kindergarten_classroom5.jpg,grocerystore3.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_sharp_left_box"",""trial_sharp_right_box""]",,,,,,,,,,,,bar2.jpg,space,5.949425,"[-0.578416200745474,0.616338857827476]","[-0.31051151490947815,-0.30064812965921195]","[1,1]","[0,0]","[0,0]","[3.7317750000003116,5.030255000005354]","[""trial_sharp_left_box"",""trial_sharp_right_box""]",0,16,16,9,1,auto_showroom3.jpg,ballroom2.jpg,basement5.jpg,arcade2.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_sharp_left_box"",""trial_sharp_right_box""]",,,,,,,,,,,,newsstand7.jpg,space,13.47814,"[-0.6031225039936102,0.6255491214057508,0.5975064896166135]","[-0.29789004259850904,-0.305569422257721,-0.29523179579339726]","[1,1,1]","[0,0,0]","[0,0,0]","[11.512129999995409,12.712565000001518,13.263285000000792]","[""trial_sharp_left_box"",""trial_sharp_right_box""]",0,17,17,65,1,igloo5.jpg,laundromat2.jpeg,labClass7.jpg,homeoffice8.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_slight_left_box"",""trial_slight_right_box""]",,,,,,,,,,,,pavilion.jpg,space,3.916415,"[-0.1796250998402556,0.20671508919062834]","[-0.30499950079872207,-0.2993169262513312]","[1,1]","[0,0]","[0,0]","[2.696069999998258,3.5958549999994602]","[""trial_slight_left_box"",""trial_slight_right_box""]",0,18,18,70,1,lockerroom4.jpg,lockerroom3.jpg,minigolf8.jpg,igloo.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_right_box""]",,,,,,,,,,,,photographer_studio2.jpg,space,3.01689,[0.40479399627263046],[-0.308136148828541],[1],[0],[0],[2.728515000002403],"[""trial_right_box""]",0,19,19,73,1,musicStore3.jpg,nursery.jpg,nursery4.jpg,library_aisle9.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_left_box"",""trial_right_box""]",,,,,,,,,,,,diningroom5.jpg,space,5.06428,"[-0.39826277955271566,0.39002595846645366]","[-0.29321003061767836,-0.3116596778487753]","[1,1]","[0,0]","[0,0]","[3.230955000006361,4.180305000001908]","[""trial_left_box"",""trial_right_box""]",0,20,20,34,1,deck4.jpg,courthouse4.jpg,diner11.jpg,campusquad1.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_ahead_box"",""trial_left_box""]",,,,,,,,,,,,playroom4.jpg,space,4.33465,"[0.0005241613418530351,-0.3879334731096912]","[-0.3204830604366347,-0.30112237087326943]","[1,1]","[0,0]","[0,0]","[1.8304750000025933,4.013964999998393]","[""trial_ahead_box"",""trial_left_box""]",0,21,21,76,1,parkinggarage.jpg,parkinggarage3.jpg,park2.jpg,lookout4.jpg
