presentedImage,participant,0,1,2,3,4,5,6
playground10.jpg,46781,,,,,,,
playground6.jpg,46781,,,,,,,
playground9.jpg,46781,,,,,,,
playroom4.jpg,46781,,,,,,,
playroom6.jpg,46781,,,,,,,
poolhall1.jpg,46781,,,,,,,
poolhall2.jpeg,46781,,,,,,,
poolhall5.jpg,46781,,,,,,,
porch.jpg,46781,,,,,,,
postoffice4.jpg,46781,,,,,,,
promenadeDeck.jpg,46781,-0.6879269,-0.6879269,-0.6879269,-0.08599086,1.227324,1.610375,-0.6879269
promenadeDeck2.jpg,46781,,,,,,,
promenadeDeck3.jpg,46781,,,,,,,
promenadeDeck6.jpg,46781,,,,,,,
publicrestroom2.jpg,46781,-0.5771507,-0.5771507,-0.5771507,-0.2914903,2.075411,0.5246825,-0.5771507
racecarcourse2.jpg,46781,,,,,,,
rainforest5.jpg,46781,,,,,,,
readingroom1.jpg,46781,-0.5279952,-0.5279952,-0.5279952,-0.3094165,0.2469655,2.174432,-0.5279952
readingroom2.jpg,46781,,,,,,,
readingroom4.jpg,46781,,,,,,,
readingroom5.jpg,46781,-0.5337006,-0.5337006,2.046769,0.6217337,-0.5337006,-0.5337006,-0.5337006
recordingstudio4.jpg,46781,-0.5677675,-0.5677675,-0.5677675,1.842917,0.99592,-0.5677675,-0.5677675
restaurant13.jpg,46781,,,,,,,
restaurant14.jpg,46781,-0.7642652,0.4703171,1.763689,0.7054756,-0.646686,-0.7642652,-0.7642652
restaurant8.jpg,46781,,,,,,,
restaurantkitchen2.jpg,46781,-0.3867374,-0.3867374,-0.3867374,2.267343,-0.3336558,-0.3867374,-0.3867374
rooftop1.jpg,46781,-0.4448387,-0.4448387,-0.4448387,-0.01419699,2.23839,-0.4448387,-0.4448387
rooftop2.jpg,46781,,,,,,,
rooftop3.jpg,46781,,,,,,,
rooftop4.jpg,46781,,,,,,,
ruralroad2.jpg,46781,,,,,,,
ruralroad3.jpg,46781,,,,,,,
ruralroad5.jpg,46781,,,,,,,
